Fetching top 500 crates from crates.io API...
  252. libm                           278,930,938 downloads
  253. openssl                        277,188,892 downloads
  254. allocator-api2                 276,948,301 downloads
  255. axum-core                      275,982,101 downloads
  256. tinystr                        274,777,097 downloads
  257. bstr                           273,786,773 downloads
  258. is_terminal_polyfill           273,235,332 downloads
  259. litemap                        271,284,216 downloads
  260. bindgen                        271,015,161 downloads
  261. home                           270,156,350 downloads
  262. der                            269,560,717 downloads
  263. yoke                           269,070,060 downloads
  264. yoke-derive                    268,959,761 downloads
  265. adler2                         268,676,551 downloads
  266. icu_properties_data            267,389,924 downloads
  267. phf_generator                  267,031,686 downloads
  268. zerovec                        266,774,550 downloads
  269. winapi-x86_64-pc-windows-gnu   266,526,245 downloads
  270. wasm-bindgen-backend           266,349,591 downloads
  271. winapi-i686-pc-windows-gnu     264,901,934 downloads
  272. icu_properties                 264,565,732 downloads
  273. rustls-pki-types               263,712,459 downloads
  274. writeable                      263,466,480 downloads
  275. icu_provider                   263,193,204 downloads
  276. zerovec-derive                 262,917,984 downloads
  277. icu_normalizer_data            261,984,204 downloads
  278. icu_collections                260,848,426 downloads
  279. zstd-safe                      260,615,549 downloads
  280. zerofrom                       260,023,793 downloads
  281. zerofrom-derive                259,116,362 downloads
  282. icu_normalizer                 258,612,125 downloads
  283. instant                        257,517,706 downloads
  284. signature                      256,287,800 downloads
  285. zstd                           256,186,914 downloads
  286. matchit                        255,336,420 downloads
  287. core-foundation-sys            254,917,160 downloads
  288. num-rational                   254,136,393 downloads
  289. spki                           253,759,744 downloads
  290. cfg_aliases                    252,943,738 downloads
  291. core-foundation                252,767,222 downloads
  292. adler                          251,076,189 downloads
  293. idna_adapter                   250,361,059 downloads
  294. unicase                        250,290,313 downloads
  295. sct                            249,408,387 downloads
  296. atomic-waker                   249,366,833 downloads
  297. serde_yaml                     248,536,484 downloads
  Page 3 done, 297 crates with repos so far
  298. hyper-util                     248,524,480 downloads
  299. hyper-tls                      245,966,073 downloads
  300. winapi-util                    245,507,649 downloads
  301. utf8_iter                      244,586,104 downloads
  302. quick-xml                      244,015,654 downloads
  303. data-encoding                  243,827,535 downloads
  304. pkcs8                          243,670,726 downloads
  305. tonic                          243,082,336 downloads
  306. bit-vec                        242,116,516 downloads
  307. dashmap                        241,444,274 downloads
  308. is-terminal                    240,849,501 downloads
  309. num-complex                    240,207,804 downloads
  310. filetime                       239,573,968 downloads
  311. opaque-debug                   238,575,502 downloads
  312. native-tls                     237,995,725 downloads
  313. http-body-util                 236,680,300 downloads
  314. portable-atomic                236,194,571 downloads
  315. num-iter                       236,175,840 downloads
  316. windows-core                   235,427,364 downloads
  317. base64ct                       233,738,779 downloads
  318. prost-build                    233,273,276 downloads
  319. web-sys                        232,385,803 downloads
  320. async-channel                  232,140,304 downloads
  321. serde_with                     232,114,905 downloads
  322. tower-http                     231,628,976 downloads
  323. zstd-sys                       230,435,881 downloads
  324. crunchy                        229,269,243 downloads
  325. serde_with_macros              228,665,907 downloads
  326. bit-set                        225,797,615 downloads
  327. const-oid                      225,122,376 downloads
  328. cipher                         223,900,383 downloads
  329. target-lexicon                 223,808,290 downloads
  330. bytemuck                       219,128,260 downloads
  331. crossbeam-queue                219,022,153 downloads
  332. security-framework             218,910,962 downloads
  333. foldhash                       218,209,304 downloads
  334. bincode                        217,455,242 downloads
  335. memmap2                        216,814,014 downloads
  336. pest                           216,751,374 downloads
  337. futures-lite                   216,463,625 downloads
  338. indoc                          216,287,416 downloads
  339. async-stream                   214,899,348 downloads
  340. console                        214,752,075 downloads
  341. async-stream-impl              214,637,265 downloads
  342. concurrent-queue               212,713,052 downloads
  343. linked-hash-map                209,439,583 downloads
  344. schemars                       209,062,184 downloads
  345. md-5                           207,015,455 downloads
  346. dirs-sys                       206,541,646 downloads
  347. windows                        206,172,216 downloads
  348. hyper-timeout                  205,913,109 downloads
  349. lru                            205,715,935 downloads
  350. multimap                       205,583,372 downloads
  351. clang-sys                      205,559,543 downloads
  352. constant_time_eq               205,212,886 downloads
  353. parking                        203,618,438 downloads
  354. dirs                           202,031,558 downloads
  355. tokio-native-tls               201,910,135 downloads
  356. ucd-trie                       201,679,369 downloads
  357. cexpr                          199,046,131 downloads
  358. overload                       198,883,055 downloads
  359. aes                            197,443,855 downloads
  360. arc-swap                       197,335,397 downloads
  361. async-lock                     195,516,067 downloads
  362. wasm-bindgen-futures           194,449,229 downloads
  363. dyn-clone                      192,977,009 downloads
  364. pem                            191,920,665 downloads
  365. ansi_term                      187,578,797 downloads
  366. pest_derive                    187,005,197 downloads
  367. criterion                      185,894,789 downloads
  368. pest_meta                      185,528,680 downloads
  369. pest_generator                 185,378,930 downloads
